Id,Subsistema,Sector,Manzana,Lote,Nivel1,Nivel2,Fraccion,Toma,Original,Correcta
1,1,14,37,26,0,0,0,1,"1-14- 0037-0026-00-00-01","1-14-0037-0026-00-00-00-01"
2,1,20,1,5,0,0,0,1,"1-20-0001-0005-00-00-00-01","1-20-0001-0005-00-00-00-01"
3,1,20,1,4,0,0,0,1,"1-20-0001-0004-00-00-00-01","1-20-0001-0004-00-00-00-01"
4,1,20,1,3,0,0,0,1,"1-20-0001-0003-00-00-00-01","1-20-0001-0003-00-00-00-01"
5,1,20,1,1,0,0,0,1,"1-20-0001-0001-00-00-00-01","1-20-0001-0001-00-00-00-01"
6,1,1,9,9,0,0,0,1,"1-1-0009-0009-00-00-00-01","1-01-0009-0009-00-00-00-01"
7,1,1,9,8,0,0,0,1,"1-1-0009-0008-00-00-00-01","1-01-0009-0008-00-00-00-01"
8,1,20,1,5,0,0,0,2,"1-20-0001-0005-00-00-00-02","1-20-0001-0005-00-00-00-02"
9,1,1,9,7,0,0,0,1,"1-1-0009-0007-00-00-00-01","1-01-0009-0007-00-00-00-01"
10,1,1,9,5,0,0,0,1,"1-1-0009-0005-00-00-00-01","1-01-0009-0005-00-00-00-01"
11,1,1,9,4,0,0,0,1,"1-1-0009-0004-00-00-00-01","1-01-0009-0004-00-00-00-01"
12,1,1,9,3,0,0,0,1,"1-1-0009-0003-00-00-00-01","1-01-0009-0003-00-00-00-01"
13,1,1,9,2,0,0,0,1,"1-1-0009-0002-00-00-00-01","1-01-0009-0002-00-00-00-01"
14,1,1,9,1,0,0,0,1,"1-1-0009-0001-00-00-00-01","1-01-0009-0001-00-00-00-01"
15,1,1,8,14,0,0,0,1,"1-1-0008-0014-00-00-00-01","1-01-0008-0014-00-00-00-01"
16,1,1,9,6,0,0,0,1,"1-1-0009-0006-00-00-00-01","1-01-0009-0006-00-00-00-01"
17,1,20,1,6,0,0,0,1,"1-20-0001-0006-00-00-00-01","1-20-0001-0006-00-00-00-01"
18,1,20,1,7,0,0,0,1,"1-20-0001-0007-00-00-00-01","1-20-0001-0007-00-00-00-01"
19,1,20,1,8,0,0,0,1,"1-20-0001-0008-00-00-00-01","1-20-0001-0008-00-00-00-01"
20,1,20,1,24,0,0,0,1,"1-20-0001-0024-00-00-00-01","1-20-0001-0024-00-00-00-01"
21,1,20,1,23,0,0,0,1,"1-20-0001-0023-00-00-00-01","1-20-0001-0023-00-00-00-01"
22,1,20,1,22,0,0,0,1,"1-20-0001-0022-00-00-00-01","1-20-0001-0022-00-00-00-01"
23,1,20,1,21,0,0,0,1,"1-20-0001-0021-00-00-00-01","1-20-0001-0021-00-00-00-01"
24,1,20,1,20,0,0,0,1,"1-20-0001-0020-00-00-00-01","1-20-0001-0020-00-00-00-01"
25,1,20,1,19,0,0,0,1,"1-20-0001-0019-00-00-00-01","1-20-0001-0019-00-00-00-01"
26,1,20,1,18,0,0,0,1,"1-20-0001-0018-00-00-00-01","1-20-0001-0018-00-00-00-01"
27,1,20,1,17,0,0,0,1,"1-20-0001-0017-00-00-00-01","1-20-0001-0017-00-00-00-01"
28,1,20,1,16,0,0,0,1,"1-20-0001-0016-00-00-00-01","1-20-0001-0016-00-00-00-01"
